Tarih,PM10
5 01 2018,53.58351125
4 01 2018,37.71674454
3 01 2018,65.41404682
2 01 2018,
1 01 2018,
31 12 2017,
30 12 2017,168.7286546
29 12 2017,112.0450213
28 12 2017,103.19909
27 12 2017,83.8818325
26 12 2017,79.6578925
25 12 2017,50.26295583
24 12 2017,16.39258179
23 12 2017,16.92003129
22 12 2017,19.51698275
21 12 2017,26.24841338
20 12 2017,16.98627221
19 12 2017,32.00837367
18 12 2017,64.36754083
17 12 2017,75.17900958
16 12 2017,136.0758317
15 12 2017,114.1117258
14 12 2017,79.36755542
13 12 2017,79.33889917
12 12 2017,75.76895042
11 12 2017,54.14143625
10 12 2017,41.58575083
9 12 2017,85.99315375
8 12 2017,67.79931875
7 12 2017,43.98699896
6 12 2017,16.04367642
5 12 2017,61.20031889
4 12 2017,138.1381575
3 12 2017,84.58069792
2 12 2017,81.8512775
1 12 2017,91.13459667
30 11 2017,62.47649467
29 11 2017,21.78411125
28 11 2017,59.39777208
27 11 2017,99.43148792
26 11 2017,78.98746708
25 11 2017,45.04198375
24 11 2017,40.43972958
23 11 2017,22.29822854
22 11 2017,26.45471958
21 11 2017,19.53030088
20 11 2017,71.13231042
19 11 2017,102.9843729
18 11 2017,129.0448421
17 11 2017,91.77748375
16 11 2017,73.274445
15 11 2017,119.5772288
14 11 2017,137.4890638
13 11 2017,98.98926333
12 11 2017,92.1378575
11 11 2017,78.48795792
10 11 2017,84.01012333
9 11 2017,97.74872208
8 11 2017,79.29849833
7 11 2017,53.70470917
6 11 2017,44.23570609
5 11 2017,36.03960292
4 11 2017,79.20344667
3 11 2017,80.26675045
2 11 2017,60.12837708
1 11 2017,35.33069
31 10 2017,36.42455958
30 10 2017,20.25363796
29 10 2017,31.78962375
28 10 2017,63.99387958
27 10 2017,55.24754833
26 10 2017,170.8771004
25 10 2017,364.5167458
24 10 2017,117.2749263
23 10 2017,77.62867917
22 10 2017,48.71146875
21 10 2017,71.11979667
20 10 2017,74.97145333
19 10 2017,71.99488875
18 10 2017,53.34347833
17 10 2017,42.87662708
16 10 2017,38.58345333
15 10 2017,33.62914542
14 10 2017,27.49731625
13 10 2017,38.83673167
12 10 2017,20.21187725
11 10 2017,23.247995
10 10 2017,14.7519715
9 10 2017,33.24593429
8 10 2017,85.37757042
7 10 2017,68.2007625
6 10 2017,45.66666667
5 10 2017,39.12425458
4 10 2017,32.72727273
3 10 2017,21.125
2 10 2017,15.04461713
1 10 2017,28.04215667
30 09 2017,29.95737083
29 09 2017,30.75012625
28 09 2017,33.74974708
27 09 2017,30.62627583
26 09 2017,39.28872458
25 09 2017,22.9576925
24 09 2017,21.87545996
23 09 2017,18.49812867
22 09 2017,63.76830583
21 09 2017,75.16418542
20 09 2017,69.41918375
19 09 2017,90.69225375
18 09 2017,75.2532325
17 09 2017,59.95582042
16 09 2017,57.9966725
15 09 2017,53.45501583
14 09 2017,47.21734667
13 09 2017,71.11795458
12 09 2017,84.01377375
11 09 2017,65.37098708
10 09 2017,38.15390542
9 09 2017,38.71052667
8 09 2017,28.94984833
7 09 2017,17.11689045
6 09 2017,27.54569208
5 09 2017,43.42651417
4 09 2017,57.05316125
3 09 2017,38.98241833
2 09 2017,25.29735
1 09 2017,20.40479254
31 08 2017,17.53833563
30 08 2017,32.38848917
29 08 2017,43.66807583
28 08 2017,36.1677725
27 08 2017,29.12261375
26 08 2017,26.65790825
25 08 2017,22.62729788
24 08 2017,17.62210463
23 08 2017,33.96215042
22 08 2017,35.7571975
21 08 2017,34.83084458
20 08 2017,31.87356125
19 08 2017,34.58760083
18 08 2017,35.20751792
17 08 2017,33.99629792
16 08 2017,29.52978792
15 08 2017,40.15904667
14 08 2017,55.99668208
13 08 2017,40.23117125
12 08 2017,52.88935083
11 08 2017,47.98829875
10 08 2017,49.04851609
9 08 2017,53.95364208
8 08 2017,49.08561167
7 08 2017,43.1937681
6 08 2017,41.23413125
5 08 2017,45.27578417
4 08 2017,47.33411333
3 08 2017,47.6293025
2 08 2017,35.88944217
1 08 2017,28.08275688
31 07 2017,36.04149292
30 07 2017,31.00260375
29 07 2017,33.25160958
28 07 2017,65.18967421
27 07 2017,83.60960083
26 07 2017,52.02383208
25 07 2017,39.1096075
24 07 2017,35.9925375
23 07 2017,28.91414333
22 07 2017,31.08814708
21 07 2017,29.48833333
20 07 2017,29.65434625
19 07 2017,48.87617083
18 07 2017,40.64438
17 07 2017,32.03900063
16 07 2017,31.54849708
15 07 2017,35.62048042
14 07 2017,35.73540458
13 07 2017,28.22756917
12 07 2017,27.50696125
11 07 2017,31.18935708
10 07 2017,30.99225042
9 07 2017,25.34362542
8 07 2017,29.34587609
7 07 2017,29.3879725
6 07 2017,19.10606238
5 07 2017,21.67662952
4 07 2017,62.99616667
3 07 2017,45.68459542
2 07 2017,35.58690792
1 07 2017,39.07941826
30 06 2017,32.79543125
29 06 2017,37.79090375
28 06 2017,35.10654292
27 06 2017,31.01527375
26 06 2017,24.61707913
25 06 2017,28.49766583
24 06 2017,29.05440083
23 06 2017,29.7674175
22 06 2017,24.46238833
21 06 2017,32.207175
20 06 2017,18.93105825
19 06 2017,10.66670142
18 06 2017,21.72517525
17 06 2017,20.47326704
16 06 2017,20.91777083
15 06 2017,24.45277292
14 06 2017,23.24137667
13 06 2017,24.32326833
12 06 2017,21.98476917
11 06 2017,20.11058113
10 06 2017,23.28245052
9 06 2017,35.92935958
8 06 2017,32.47546333
7 06 2017,27.04189333
6 06 2017,35.28171042
5 06 2017,24.46531789
4 06 2017,27.66458042
3 06 2017,29.52993792
2 06 2017,29.48388875
1 06 2017,33.74525917
31 05 2017,24.62344375
30 05 2017,27.64860333
29 05 2017,27.55433292
28 05 2017,17.96278104
27 05 2017,20.07830692
26 05 2017,32.49215333
25 05 2017,25.32899388
24 05 2017,19.61245363
23 05 2017,24.76855667
22 05 2017,28.68815
21 05 2017,27.20717167
20 05 2017,16.86617254
19 05 2017,11.58928917
18 05 2017,23.66440654
17 05 2017,22.01695283
16 05 2017,16.56650367
15 05 2017,23.54079
14 05 2017,76.86480583
13 05 2017,48.10821875
12 05 2017,21.21821708
11 05 2017,18.26968163
10 05 2017,56.49065333
9 05 2017,43.17920333
8 05 2017,37.44522008
7 05 2017,13.50480458
6 05 2017,43.61148167
5 05 2017,47.60801875
4 05 2017,42.01910318
3 05 2017,37.10097542
2 05 2017,37.95136458
1 05 2017,43.80845042
30 04 2017,36.6253425
29 04 2017,34.93962333
28 04 2017,37.75024833
27 04 2017,38.0081225
26 04 2017,28.74331042
25 04 2017,17.20134467
24 04 2017,17.565791
23 04 2017,26.19168088
22 04 2017,16.15347492
21 04 2017,45.89314875
20 04 2017,30.84833833
19 04 2017,21.91168692
18 04 2017,39.82693708
17 04 2017,42.34168542
16 04 2017,33.59461542
15 04 2017,29.68595667
14 04 2017,30.67412458
13 04 2017,33.97079958
12 04 2017,29.83574583
11 04 2017,23.5245455
10 04 2017,12.97972488
9 04 2017,14.51351213
8 04 2017,16.36127813
7 04 2017,22.33256854
6 04 2017,34.07447917
5 04 2017,30.80983805
4 04 2017,37.08318
3 04 2017,28.61971292
2 04 2017,31.96093542
1 04 2017,30.26457208
31 03 2017,34.29366521
30 03 2017,40.71902125
29 03 2017,31.22262792
28 03 2017,21.53971758
27 03 2017,28.56986888
26 03 2017,35.67046
25 03 2017,34.71214917
24 03 2017,41.075015
23 03 2017,28.79964875
22 03 2017,29.68728
21 03 2017,24.20892392
20 03 2017,18.049797
19 03 2017,27.72285625
18 03 2017,19.38244396
17 03 2017,23.07586333
16 03 2017,15.37368154
15 03 2017,25.40193213
14 03 2017,24.70329525
13 03 2017,26.31666917
12 03 2017,33.20380333
11 03 2017,49.72817125
10 03 2017,73.032995
9 03 2017,45.73223417
8 03 2017,56.36661917
7 03 2017,52.10752417
6 03 2017,69.61468333
5 03 2017,31.49319917
4 03 2017,18.78890338
3 03 2017,64.33069917
2 03 2017,67.37269667
1 03 2017,72.99956333
28 02 2017,55.7750925
27 02 2017,55.0685825
26 02 2017,28.082455
25 02 2017,43.20707583
24 02 2017,47.87953833
23 02 2017,39.35142
22 02 2017,38.57679958
21 02 2017,59.84507708
20 02 2017,59.39335958
19 02 2017,49.61755292
18 02 2017,38.87004046
17 02 2017,23.71962448
16 02 2017,17.16675654
15 02 2017,34.12904958
14 02 2017,20.42337479
13 02 2017,20.12553967
12 02 2017,16.748583
11 02 2017,23.39773917
10 02 2017,43.22486917
9 02 2017,70.420425
8 02 2017,68.28990583
7 02 2017,41.39905375
6 02 2017,31.54509792
5 02 2017,71.53986583
4 02 2017,115.5371579
3 02 2017,79.37717583
2 02 2017,41.500624
1 02 2017,23.93491963
31 01 2017,17.59851792
30 01 2017,32.42550375
29 01 2017,34.1330775
28 01 2017,17.94924467
27 01 2017,20.18656942
26 01 2017,9.675759417
25 01 2017,64.88511478
24 01 2017,65.74928
23 01 2017,60.33823083
22 01 2017,32.31124083
21 01 2017,18.96650796
20 01 2017,15.56305171
19 01 2017,42.78480875
18 01 2017,66.96820583
17 01 2017,82.99170826
16 01 2017,119.4050683
15 01 2017,98.43158958
14 01 2017,73.05248625
13 01 2017,35.59022167
12 01 2017,34.98279583
11 01 2017,32.22558523
10 01 2017,31.94033208
9 01 2017,19.50900154
8 01 2017,6.212638043
7 01 2017,38.1055975
6 01 2017,39.3815637
5 01 2017,37.9566255
4 01 2017,47.02362833
3 01 2017,67.28116708
2 01 2017,57.66907417
